participant_id,level_name,game_batch,game_id,trial_id,human_conf,human_AI_conf,AI_conf,Ai_calibrated_conf,true_prob,nr_reds_shown,initial_decision,final_decision,outcome,win,points
669ea30b5f254,level_A,11,-1,14,83,84,100,,100.0,21,Red,Red,Red,1,9
669ea30b5f254,level_A,11,264,15,8,8,8,,1.5384615384615383,0,Black,Black,Black,1,10
669ea30b5f254,level_A,11,269,16,78,21,23,,35.38461538461539,14,Red,Red,Black,-1,9
669ea30b5f254,level_A,11,279,17,72,70,62,,73.84615384615385,17,Red,Red,Red,1,10
669ea30b5f254,level_A,11,267,18,60,16,15,,27.692307692307693,9,Red,Black,Red,-1,9
669ea30b5f254,level_A,11,270,19,23,26,31,,18.461538461538463,3,Black,Red,Black,-1,8
669ea30b5f254,level_A,11,286,20,57,88,92,,86.15384615384616,14,Red,Red,Red,1,9
669ea30b5f254,level_A,11,278,21,53,57,62,,49.23076923076923,7,Red,Red,Red,1,10
669ea30b5f254,level_A,11,275,22,72,38,46,,58.46153846153847,18,Red,Red,Black,-1,9
669ea30b5f254,level_A,11,274,23,67,42,46,,33.84615384615385,5,Red,Black,Black,1,10
669ea30b5f254,level_A,11,273,24,82,25,38,,50.76923076923077,18,Red,Red,Red,1,11
669ea30b5f254,level_A,11,284,25,52,82,85,,72.3076923076923,10,Red,Red,Red,1,12
669ea30b5f254,level_A,11,280,26,45,64,69,,56.92307692307692,9,Black,Red,Red,1,13
669ea3a27dfed,level_A,15,-2,0,0,0,0,,0.0,0,Black,Black,Black,1,1
669ea3a27dfed,level_A,15,-3,1,63,63,54,,60.0,14,Red,Red,Red,1,2
669ea3a27dfed,level_A,15,379,2,100,100,77,,89.23076923076924,21,Red,Red,Red,1,3
669ea3a27dfed,level_A,15,383,3,37,37,92,,98.46153846153848,21,Red,Red,Red,1,4
669ea3a27dfed,level_A,15,371,4,79,79,46,,58.46153846153847,18,Red,Red,Black,-1,3
669ea3a27dfed,level_A,15,378,5,32,32,77,,64.61538461538461,7,Black,Black,Black,1,4
669ea3a27dfed,level_A,15,365,6,70,73,23,,35.38461538461539,17,Red,Red,Red,1,5
669ea3a27dfed,level_A,15,366,7,25,25,31,,18.461538461538463,4,Red,Red,Black,-1,4
669ea3a27dfed,level_A,15,377,8,91,91,69,,81.53846153846153,19,Red,Red,Red,1,5
669ea3a27dfed,level_A,15,363,9,60,60,15,,27.692307692307693,11,Red,Red,Black,-1,4
669ea3a27dfed,level_A,15,360,10,0,0,8,,1.5384615384615383,0,Black,Black,Black,1,5
669ea3a27dfed,level_A,15,375,11,82,82,62,,73.84615384615385,20,Red,Red,Red,1,6
669ea3a27dfed,level_A,15,374,12,38,38,62,,49.23076923076923,6,Black,Black,Red,-1,5
669ea3a27dfed,level_A,15,370,13,41,41,46,,33.84615384615385,5,Black,Black,Red,-1,4
669ea3a27dfed,level_A,15,-1,14,86,86,100,,100.0,21,Red,Red,Red,1,5
669ea3a27dfed,level_A,15,367,15,76,76,31,,43.07692307692308,15,Red,Red,Red,1,6
669ea3a27dfed,level_A,15,380,16,35,57,85,,72.3076923076923,7,Black,Red,Red,1,7
